,index,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,Route name,Description
10,10,Devil's Traverse,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/112384621/devils-traverse,2.9,-1,Boulder,V1,1,,40.47667,-74.70444,Devils Traverse,Not available
11,11,The Vill,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111078001/the-vill,1.8,-1,Boulder,V1,1,,40.47667,-74.70444,The Vill,Not available
12,12,Flight of Falcor,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/112510615/flight-of-falcor,2.0,-1,Boulder,V1-2,1,7.0,40.47667,-74.70444,Flight Of Falcor,"Sit start with two underclings.  The large unattached rock right at the base of the boulder is off for feet! Work your left hand around and then up to a small slopey rail. Bring your right hand up to the right edge of the original feature.This next move is the crux. A high left heel / whole foot smear on the feature helps!Either make a big move with your right hand out to a crimpy sidepull, or make a weird side mantle move with your right hand and slap it way up to the slopey lip.  Match the slopey lip and top it out without using the really good jugs to the left."
13,13,The Wave,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111077772/the-wave,2.7,-1,Boulder,V2,1,,40.47667,-74.70444,The Wave,Not available
14,14,The Cling,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111176889/the-cling,2.8,-1,Boulder,V2,1,10.0,40.47667,-74.70444,The Cling,Not available
15,15,Spider's Nest Dihedral,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/117090265/spiders-nest-dihedral,-1.0,-1,Boulder,V2,1,10.0,40.47667,-74.70444,Spiders Nest Dihedral,"Start: Standing - Both hands on good crimps about half way up the right side of the dihedral, your left foot on a decent sloper and your right foot flagged around the arete.First move is into a sharp thumb-press mantel with your left hand.  Then, match your right foot on the starting foot hold and get a left-hand-foot match on the mantel.  From there, bring your left hand up into an 'Okay' left-side pull crimp.  Finally, get your right hand up to a good crimp, just to the right of the side-pull; get your right foot on the staring hand holds and top out on the boulder.***Note - This may already be an established route but, I have not been able to find any information on it."
16,16,The Wave Mantle,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111178745/the-wave-mantle,2.3,-1,Boulder,V2,1,,40.47667,-74.70444,The Wave Mantle,Start with the decent left and good right hand under the shelf. Move up onto the shelf and mantle up with a high heel hook or lower feet. Stand up and finish over the middle.
17,17,Crankshaft,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111077961/crankshaft,2.1,-1,Boulder,V3,1,,40.47667,-74.70444,Crankshaft,Not available
18,18,Spider's Nest,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/117090379/spiders-nest,3.0,-1,Boulder,V3,1,15.0,40.47667,-74.70444,Spiders Nest,"Start: Standing - Both hands on good crimps about half way up the right side of the dihedral, your left foot on a decent sloper and your right foot flagged around the arete.Beginning of this is the same as Spider's Nest Dihedral:First move is into a sharp thumb-press mantel with your left hand.  Then, match your right foot on the starting foot hold and get a left-hand-foot match on the mantel.  From there, bring your left hand up into an 'Okay' left-side pull crimp.  Next, get your right hand up to a good crimp, just to the right of the side-pull.Where it differs:Once your right hand in on the good crimp, left hand out to a sharp crimp, over a slopey rail(this should make sense when you feel the hold); bring right foot in, match and then throw for the top of the boulder, there is a good rail.  Finally, get a high left foot on the lower part of the ledge and top out.***Note - This may already be an established route but, I have not been able to find any information on it."
19,19,Go Make Some Babies,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111077985/go-make-some-babies,3.0,-1,Boulder,V3,1,,40.47667,-74.70444,Go Make Some Babies,Not available
20,20,Cranky Piston Baby,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111740562/cranky-piston-baby,2.0,-1,Boulder,V3,1,,40.47667,-74.70444,Cranky Piston Baby,"Same start as Go Make Some Babies, move left along the crack and top out by moving around the corner with a heel and mantle."
21,21,Death Grips Slab,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/112061135/death-grips-slab,2.0,-1,Boulder,V3+,1,10.0,40.47667,-74.70444,Death Grips Slab,"A short but fun slab climb with tiny, almost non-existent footholds. Start on the horizontal crack a little more than halfway up the boulder. The really good foothold on the left, at the start of the problem is off; the first move was way too easy with that foot.  The right arete is also off. From the start, go right hand to a solid crimp, then left hand to a gaston. Get your left foot up super high to the starting crack, and move to the good horizontal crack near the top of the boulder. Match, and top out.The crux move is definitely moving from the gaston to the horizontal crack.  The best way we found to make this move was to get your left foot super high.The holds are not terrible - most of them are tiny crimps, but this is a slab problem.  What makes this climb tough is the absolute lack of feet; make use of any small divot in the rock that you can."
22,22,Piston,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111178496/piston,3.0,-1,Boulder,V4+,1,,40.47667,-74.70444,Piston,Not available
23,23,The Wave Full,Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111178767/the-wave-full,3.3,-1,Boulder,V5,1,,40.47667,-74.70444,The Wave Full,Not available
24,24,Corner problem,Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111177238/corner-problem,1.2,-1,Boulder,V0,1,,40.47777,-74.70332,Corner Problem,Not available
25,25,unnamed,Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111177248/unnamed,1.3,-1,Boulder,V0,1,,40.47777,-74.70332,Unnamed,Not available
26,26,unnamed V0,Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111177343/unnamed-v0,2.5,-1,Boulder,V0 PG13,1,,40.47777,-74.70332,Unnamed V0,Not available
27,27,Old School,Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111078219/old-school,2.4,-1,Boulder,V1,1,,40.47777,-74.70332,Old School,Not available
28,28,Lateral internal sphincterotomy,Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/113170819/lateral-internal-sphincterotomy,2.0,-1,Boulder,V1,1,,40.47777,-74.70332,Lateral Internal Sphincterotomy,"Sit start with left hand on arete with bomber thumbcatch and right hand on slopey sidepull, solid feet.  bump throw right (crux) to an ok juggy sidepull move feet and set up for a solid heel right.  top out left."
29,29,The Slab,Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111177200/the-slab,1.9,-1,Boulder,V1+,1,,40.47777,-74.70332,The Slab,Not available
30,30,Good Vibrations,Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111078185/good-vibrations,3.4,-1,Boulder,V4,1,10.0,40.47777,-74.70332,Good Vibrations,Not available
31,31,The Dwarf,Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111178339/the-dwarf,2.9,-1,Boulder,V5-6,1,,40.47777,-74.70332,The Dwarf,Not available
32,32,Dwarf in Paris,Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/113170726/dwarf-in-paris,3.0,-1,Boulder,V6,1,15.0,40.47777,-74.70332,Dwarf In Paris,directly between dwarf (v5-6) and midnight in paris (v7).  Start on the same jugs as dwarf and follow midnight in paris up the face to a 1.5 finger crimp (see photos) and topout from the juggy seam traversing left.  popular beta involves a toe hook on the start to a big sidepull on the face to the right.  throw left and up to the 1.5 finger crimp and then directly up right to the jug.  FA'd at 2am.  we suggest you do the same.
33,33,Get Dumb,Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/117842022/get-dumb,1.5,-1,Boulder,V0,1,15.0,40.46075,-74.70829,Get Dumb,Follow the big crack straight up. Occasionally awkward but pretty easy with decent holds. A couple of variations available to the right.
34,34,The Gator,Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/112142911/the-gator,3.1,-1,Boulder,V2,1,,40.46075,-74.70829,The Gator,Not available
35,35,Industrial Society and Its Future,Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/122237321/industrial-society-and-its-future,3.0,-1,Boulder,V2 X,1,25.0,40.46075,-74.70829,Industrial Society And Its Future,"Climb the beautiful gold and black arete on its left side to the horizontal. Move up on jugs and swing further up and right around to the jug on the slab. Finish up the hollow flake. Watch out for fragile holds up high anddo not fall on the topout. When dialed this problem climbs like a nice 5.11 and is a great warmup, but remains a serious undertaking."
36,36,The Flying Eagle,Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/118666274/the-flying-eagle,3.8,-1,Boulder,V3 PG13,1,25.0,40.46075,-74.70829,The Flying Eagle,Maybe the best moderate highball in New Jersey. This problem has it all: a natural line up an impressive boulder with great moves on cool holds. The rock quality is very good and the crux getting over the bulge is exciting and just tricky enough. It is the exact opposite of all the short and contrived diabase problems with bad landings. If you find this problem too easy just step right to Blood Sport for another exhilarating classic.The problem starts standing with the left hand on a pinch and right hand on an edge. Make some interesting moves on good holds following the bulge up and right to join Blood Sport. Fight your way over the bulge on some tricky incuts and top out. The crux is about 10 feet off the ground but the fall is clean and the landing is flat. The topout slab is easy.
37,37,Get Smart,Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/112142780/get-smart,3.5,-1,Boulder,V3+,1,,40.46075,-74.70829,Get Smart,Not available
38,38,Zoom Zoom,Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/122188281/zoom-zoom,2.5,-1,Boulder,V5,1,,40.46075,-74.70829,Zoom Zoom,Sit start with your right hand on the arete and left hand on the underling.Slap up the generous arete and use a left hand side pull to get to the top.
39,39,Five guys,Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/113567426/five-guys,2.0,-1,Boulder,V6,1,,40.46075,-74.70829,Five Guys,Start on the jug rail with a heel hook and go strait up on slopers top out.
40,40,Heart Shaped Box,Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/112142926/heart-shaped-box,2.6,-1,Boulder,V6-7,1,,40.46075,-74.70829,Heart Shaped Box,Not available
41,41,Blood Sport,Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/118700756/blood-sport,4.0,-1,Boulder,V8,1,,40.46075,-74.70829,Blood Sport,The Roaring Rocks classic.
42,42,Social Distancing,Roaring Rocks > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/118747540/social-distancing,4.0,-1,Boulder,V8+ PG13,1,40.0,40.46075,-74.70829,Social Distancing,"Longest problem in the Sourlands. Link up of Blood Sport, the Flying Eagle, and the south arete (Industrial Society and Its Future). Put up at the start of the COVID-19 era before the park was shut down."
43,43,Mono Face,Backyard Boulders > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/112143651/mono-face,2.3,-1,Boulder,V1,1,,40.46592,-74.71362,Mono Face,Not available
44,44,The Hump,Backyard Boulders > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/112143517/the-hump,1.4,-1,Boulder,V3,1,,40.46592,-74.71362,The Hump,Not available
45,45,Let's see how far we go,Backyard Boulders > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/113567526/lets-see-how-far-we-go,2.0,-1,Boulder,V4-5,1,,40.46592,-74.71362,Lets See How Far We Go,Start on the low sharp crimp a bit dabby but fun work you way to the jug then follow the lip to the jug on top and top out. Crux is just before the jug.
46,46,Sideways,Backyard Boulders > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/112143500/sideways,3.5,-1,Boulder,V5-,1,,40.46592,-74.71362,Sideways,Not available
47,47,The Direct,Backyard Boulders > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/118666364/the-direct,4.0,-1,Boulder,V9,1,12.0,40.46592,-74.71362,The Direct,The best diabase dyno?
48,48,Security Blanket,Main Boulder > Playground > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/118072645/security-blanket,2.0,-1,Boulder,V0,1,,40.46363,-74.71243,Security Blanket,"SDS low on the arete. Bump up, pull yourself into the offwidth, top out above.Beta Video"
49,49,Allen Ginsberg,Main Boulder > Playground > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/121995644/allen-ginsberg,2.0,-1,Boulder,V1,1,,40.46363,-74.71243,Allen Ginsberg,"Sit start to the right of the big offwidth crack, and to the left of the broken tree"
50,50,Sal Paradise,Main Boulder > Playground > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/121967791/sal-paradise,2.0,-1,Boulder,V1,1,,40.46363,-74.71243,Sal Paradise,Sit start at the vertical crack. See photo
51,51,Neal Cassady's Hudson,Main Boulder > Playground > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/121962772/neal-cassadys-hudson,2.0,-1,Boulder,V2,1,,40.46363,-74.71243,Neal Cassadys Hudson,"Sit start, use little flake on the right of the little second layer. Reach up grab little 10 inch rail. Top out on slopey top with tiny holds"
52,52,Boys and girls in America traverse,Main Boulder > Playground > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/121968508/boys-and-girls-in-america-traverse,2.0,-1,Boulder,V2,1,,40.46363,-74.71243,Boys And Girls In America Traverse,Start far right on the side by the broken tree. Traverse left to the vertical crack and top out.
53,53,William S. Burroughs,Main Boulder > Playground > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/121962911/william-s-burroughs,2.0,-1,Boulder,V2,1,,40.46363,-74.71243,William S Burroughs,"Sit start left hand pinch, right hand arete."
54,54,Boys and girls in America,Main Boulder > Playground > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/121967805/boys-and-girls-in-america,2.0,-1,Boulder,V3,1,,40.46363,-74.71243,Boys And Girls In America,Sit start far right of that side of the boulder. See photo
55,55,Baby Bump,Balance Galactic Boulder > Playground > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/118072677/baby-bump,2.0,-1,Boulder,V0,1,,40.46387,-74.71268,Baby Bump,"SDS with a left pinch and a higher right crimp. Bump to jugs, gain the lip and move up.Beta Video"
56,56,Spirit Molecule,Spirit Molecule Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/122331951/spirit-molecule,4.0,-1,Boulder,V5,1,13.0,40.47724,-74.70133,Spirit Molecule,"Excellent V5 and the namesake of the area, I thought this one deserved a spot on MP.Sit start on two obvious chalked edges. Make moves straight up/right following slopers on the left and compressing either side of the bulge. Excellent movement on high quality rock"
57,57,The Van der Wall,Spirit Molecule Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/121546180/the-van-der-wall,3.0,-1,Boulder,V8,1,15.0,40.47724,-74.70133,The Van Der Wall,Start on the obvious knife edge crimps in the middle of the slab and bad feet. Use the nail-sharp crimps to move upwards and right until you gain a good right-hand sidepull around the blunt arete and a good crimp up top. Finish the technical slab sequence to the top.The original send an V6 stand variation started on the good sidepull.
58,58,Quantum Numbness,Spirit Molecule Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/121546221/quantum-numbness,3.0,-1,Boulder,V8,1,15.0,40.47724,-74.70133,Quantum Numbness,"Start on the obvious knife-edge crimps in the middle of the slab with bad feet. Climb as straight upwards as possible, with the first big move left to a big crimp and then right."
59,59,Rotten,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/121428562/rotten,2.0,-1,Boulder,V0,1,,40.36905,-74.67443,Rotten,Far left side of the boulder.
60,60,Viewing,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/114403953/viewing,2.0,-1,Boulder,V0,1,11.0,40.36905,-74.67443,Viewing,"Super short problem on the slab.Beta:First scramble up onto the big ledge. Start hands on the two big edges. Put right foot in the big crack down just above the ledge you start on, then reach left foot out to a juggy thing on the arete  (lower arrow). Stand up and go left hand to the slopey hold on the arete, then bring your right hand up to the tiny pocket. Next, a SUPER high right foot to where your right hand started. Reach right hand up to the top, bring your left foot up to the edge your left hand started on, and then you're basically there."
61,61,Split Smear,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/120718731/split-smear,2.0,-1,Boulder,V0,1,,40.36905,-74.67443,Split Smear,"Standing start on the bottom of the boulder, putting the left foot in the crack, or climbing up the arete to the right."
62,62,T-time,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111805338/t-time,1.4,-1,Boulder,V0,1,,40.36905,-74.67443,T Time,Not available
63,63,Canine,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/117821090/canine,1.0,-1,Boulder,V0,1,,40.36905,-74.67443,Canine,Sit start with your hands on either side of the tooth on the undercling/ side pulls.  Pull up to a good left hand side pull and top out.
64,64,Witherspoon Traverse,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/119146158/witherspoon-traverse,3.0,-1,Boulder,V0,1,10.0,40.36905,-74.67443,Witherspoon Traverse,"Best warm up in the woods. Start on the same holds as Sharknado and traverse left on good holds with reachy, technical feet. End with an easy mantle onto the left face at the start of The Seam"
65,65,Smalls,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/121428510/smalls,1.0,-1,Boulder,V1,1,,40.36905,-74.67443,Smalls,Far right of the boulder. Staying right of the sidepull.
66,66,Blades,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/117321021/blades,2.2,-1,Boulder,V1,1,,40.36905,-74.67443,Blades,"Start with your left foot on a very good rail low and your right hand on the obvious hold that is chalked in the photo.You can climb this without a pad, as the landing area between the two boulders is pretty flat. If you don't have a pad be prepared to bail early or have some good ankles if you blow the crux."
67,67,Sharknado,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/114403911/sharknado,2.0,-1,Boulder,V1,1,10.0,40.36905,-74.67443,Sharknado,start on the bottom right of the slopey arete. Don't be afraid of some high feet on this route!Beta:left hand out to the big side pull marked with a red circleshimmy the right hand up the side. plenty of feet to move around to.Top out using the nice top blue edge marked in the image
68,68,Underdog Variation,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/118007145/underdog-variation,1.0,-1,Boulder,V1,1,,40.36905,-74.67443,Underdog Variation,Start on crimps and decent feet in the center of the slab.  Work thin holds straight up to the top avoiding going left or right.
69,69,Down Play,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111805301/down-play,1.0,-1,Boulder,V1,1,,40.36905,-74.67443,Down Play,Not available
70,70,Slug Slab Variation,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/117823780/slug-slab-variation,2.0,-1,Boulder,V1-2,1,,40.36905,-74.67443,Slug Slab Variation,Stand start on the left side of the slab.  Use some crimps to help you get onto the slab and then work your way straight up and top out. Easier the further left you go.
71,71,Silverfish,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/117320961/silverfish,2.0,-1,Boulder,V2,1,,40.36905,-74.67443,Silverfish,"Sit start with left hand on a good hold (left arrow, just to the left/out of frame of the picture) and right on a decent one (right arrow); get a heel hook where the circled hold is and go up."
72,72,Bum Rap,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111805214/bum-rap,2.6,-1,Boulder,V2,1,10.0,40.36905,-74.67443,Bum Rap,Not available
73,73,The Seam (aka Slug Slab),Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/111805279/the-seam-aka-slug-slab,2.5,-1,Boulder,V2,1,,40.36905,-74.67443,The Seam Aka Slug Slab,"Start at the very low angle part of the boulder, and reach up into the seam. Traverse the seam to the left, as as it pinched down to nothing (and the feat disappear as well!). Top out the boulder at the end of the seam."
74,74,Best Seller,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/118101616/best-seller,3.3,-1,Boulder,V2,1,12.0,40.36905,-74.67443,Best Seller,"Start at the center of the slab beside the ledge or on the big side pull further to the right. Move up and left to the large edge, step up onto thin feet, make a tricky move, and top out."
75,75,Writhin Floridian,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/121510665/writhin-floridian,1.0,-1,Boulder,V2-3,1,15.0,40.36905,-74.67443,Writhin Floridian,"Like Flying Hawaiian but a lot worse.Start on the bottom of the wide crack and mantle to a stance at the bottom of the dihedral. From there trust your feet and tips to the topout, or reach through the crux if you can."
76,76,The Wave / Stuart Arete - Stand Start,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/109070933/the-wave-stuart-arete-stand-start,2.6,-1,Boulder,V3,1,,40.36905,-74.67443,The Wave Stuart Arete Stand Start,"Start with your left hand on a decent edge and your right hand on a pinch just below the jug. Bump up to the jug and continue to the slopey lip. For full value, don't traverse right at the lip, but instead top out straight up. You can do it!Alternate Description:Standing in front of the prow. Right hand on the jug on the prow. Left hand out to the left. Go onto the right side for an easier variation. Go left and top out is harder."
77,77,Stu-babies,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/117823867/stu-babies,2.3,-1,Boulder,V3,1,,40.36905,-74.67443,Stu Babies,Same start as Stuart Arete but go straight up to the seam instead.
78,78,Senior Discount,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/119146232/senior-discount,4.0,-1,Boulder,V4,1,10.0,40.36905,-74.67443,Senior Discount,"Start on the jug and somehow finagle both your arms onto the opposing sidepulls. From there, bump your way to the top!"
79,79,Stuart Arete,Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey,https://www.mountainproject.com/route/109071042/stuart-arete,3.9,-1,Boulder,V5,1,,40.36905,-74.67443,Stuart Arete,"Sit start with your right hand on a bad sloper and left hand on a vaguely ball-like sloper. There are several options for getting to the pinch, some involving a barely-there sloper intermediate, and some involving a powerful and extended gaston. Once you wrap the jug with your right hand, it's pretty much in the bag (assuming you can climb The Wave stand).The ideal conditions for an ascent of this sloper testpiece are a crisp 80-degree day in June, with full humidity, and nursing a hangover from Princeton Reunions. While we conservatively grade this problem V8, there have been murmurs that the true grade is closer to V10. To those murmurers I say: Thank you. You're very kind."
