,Route,Route Type,Grading,Area Latitude,Area Longitude,State,Gorge,Area,Crag,Subcrag,Description,URL
21,Death Grips Slab,Boulder,V3+,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,"A short but fun slab climb with tiny, almost non-existent footholds. Start on the horizontal crack a little more than halfway up the boulder. The really good foothold on the left, at the start of the problem is off; the first move was way too easy with that foot.  The right arete is also off. From the start, go right hand to a solid crimp, then left hand to a gaston. Get your left foot up super high to the starting crack, and move to the good horizontal crack near the top of the boulder. Match, and top out.The crux move is definitely moving from the gaston to the horizontal crack.  The best way we found to make this move was to get your left foot super high.The holds are not terrible - most of them are tiny crimps, but this is a slab problem.  What makes this climb tough is the absolute lack of feet; make use of any small divot in the rock that you can.",https://www.mountainproject.com/route/112061135/death-grips-slab
22,Piston,Boulder,V4+,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,Not available,https://www.mountainproject.com/route/111178496/piston
23,The Wave Full,Boulder,V5,40.47667,-74.70444,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Devil's Half Acre,Not available,https://www.mountainproject.com/route/111178767/the-wave-full
24,Corner Problem,Boulder,V0,40.47777,-74.70332,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Half Moon Area,Not available,https://www.mountainproject.com/route/111177238/corner-problem
25,Unnamed,Boulder,V0,40.47777,-74.70332,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Half Moon Area,Not available,https://www.mountainproject.com/route/111177248/unnamed
26,Unnamed V0,Boulder,V0,40.47777,-74.70332,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Half Moon Area,Not available,https://www.mountainproject.com/route/111177343/unnamed-v0
27,Old School,Boulder,V1,40.47777,-74.70332,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Half Moon Area,Not available,https://www.mountainproject.com/route/111078219/old-school
28,Lateral Internal Sphincterotomy,Boulder,V1,40.47777,-74.70332,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Half Moon Area,"Sit start with left hand on arete with bomber thumbcatch and right hand on slopey sidepull, solid feet.  bump throw right (crux) to an ok juggy sidepull move feet and set up for a solid heel right.  top out left.",https://www.mountainproject.com/route/113170819/lateral-internal-sphincterotomy
29,The Slab,Boulder,V1+,40.47777,-74.70332,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Half Moon Area,Not available,https://www.mountainproject.com/route/111177200/the-slab
30,Good Vibrations,Boulder,V4,40.47777,-74.70332,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Half Moon Area,Not available,https://www.mountainproject.com/route/111078185/good-vibrations
31,The Dwarf,Boulder,V5-6,40.47777,-74.70332,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Half Moon Area,Not available,https://www.mountainproject.com/route/111178339/the-dwarf
32,Dwarf In Paris,Boulder,V6,40.47777,-74.70332,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Half Moon Area,directly between dwarf (v5-6) and midnight in paris (v7).  Start on the same jugs as dwarf and follow midnight in paris up the face to a 1.5 finger crimp (see photos) and topout from the juggy seam traversing left.  popular beta involves a toe hook on the start to a big sidepull on the face to the right.  throw left and up to the 1.5 finger crimp and then directly up right to the jug.  FA'd at 2am.  we suggest you do the same.,https://www.mountainproject.com/route/113170726/dwarf-in-paris
33,Get Dumb,Boulder,V0,40.46075,-74.70829,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Roaring Rocks,Follow the big crack straight up. Occasionally awkward but pretty easy with decent holds. A couple of variations available to the right.,https://www.mountainproject.com/route/117842022/get-dumb
34,The Gator,Boulder,V2,40.46075,-74.70829,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Roaring Rocks,Not available,https://www.mountainproject.com/route/112142911/the-gator
35,Industrial Society And Its Future,Boulder,V2,40.46075,-74.70829,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Roaring Rocks,"Climb the beautiful gold and black arete on its left side to the horizontal. Move up on jugs and swing further up and right around to the jug on the slab. Finish up the hollow flake. Watch out for fragile holds up high anddo not fall on the topout. When dialed this problem climbs like a nice 5.11 and is a great warmup, but remains a serious undertaking.",https://www.mountainproject.com/route/122237321/industrial-society-and-its-future
36,The Flying Eagle,Boulder,V3,40.46075,-74.70829,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Roaring Rocks,Maybe the best moderate highball in New Jersey. This problem has it all: a natural line up an impressive boulder with great moves on cool holds. The rock quality is very good and the crux getting over the bulge is exciting and just tricky enough. It is the exact opposite of all the short and contrived diabase problems with bad landings. If you find this problem too easy just step right to Blood Sport for another exhilarating classic.The problem starts standing with the left hand on a pinch and right hand on an edge. Make some interesting moves on good holds following the bulge up and right to join Blood Sport. Fight your way over the bulge on some tricky incuts and top out. The crux is about 10 feet off the ground but the fall is clean and the landing is flat. The topout slab is easy.,https://www.mountainproject.com/route/118666274/the-flying-eagle
37,Get Smart,Boulder,V3+,40.46075,-74.70829,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Roaring Rocks,Not available,https://www.mountainproject.com/route/112142780/get-smart
38,Zoom Zoom,Boulder,V5,40.46075,-74.70829,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Roaring Rocks,Sit start with your right hand on the arete and left hand on the underling.Slap up the generous arete and use a left hand side pull to get to the top.,https://www.mountainproject.com/route/122188281/zoom-zoom
39,Five Guys,Boulder,V6,40.46075,-74.70829,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Roaring Rocks,Start on the jug rail with a heel hook and go strait up on slopers top out.,https://www.mountainproject.com/route/113567426/five-guys
40,Heart Shaped Box,Boulder,V6-7,40.46075,-74.70829,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Roaring Rocks,Not available,https://www.mountainproject.com/route/112142926/heart-shaped-box
41,Blood Sport,Boulder,V8,40.46075,-74.70829,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Roaring Rocks,The Roaring Rocks classic.,https://www.mountainproject.com/route/118700756/blood-sport
42,Social Distancing,Boulder,V8+,40.46075,-74.70829,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Roaring Rocks,"Longest problem in the Sourlands. Link up of Blood Sport, the Flying Eagle, and the south arete (Industrial Society and Its Future). Put up at the start of the COVID-19 era before the park was shut down.",https://www.mountainproject.com/route/118747540/social-distancing
43,Mono Face,Boulder,V1,40.46592,-74.71362,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Backyard Boulders,Not available,https://www.mountainproject.com/route/112143651/mono-face
44,The Hump,Boulder,V3,40.46592,-74.71362,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Backyard Boulders,Not available,https://www.mountainproject.com/route/112143517/the-hump
45,Let'S See How Far We Go,Boulder,V4-5,40.46592,-74.71362,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Backyard Boulders,Start on the low sharp crimp a bit dabby but fun work you way to the jug then follow the lip to the jug on top and top out. Crux is just before the jug.,https://www.mountainproject.com/route/113567526/lets-see-how-far-we-go
46,Sideways,Boulder,V5-,40.46592,-74.71362,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Backyard Boulders,Not available,https://www.mountainproject.com/route/112143500/sideways
47,The Direct,Boulder,V9,40.46592,-74.71362,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Backyard Boulders,The best diabase dyno?,https://www.mountainproject.com/route/118666364/the-direct
48,Security Blanket,Boulder,V0,40.46363,-74.71243,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Playground,"SDS low on the arete. Bump up, pull yourself into the offwidth, top out above.Beta Video",https://www.mountainproject.com/route/118072645/security-blanket
49,Allen Ginsberg,Boulder,V1,40.46363,-74.71243,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Playground,"Sit start to the right of the big offwidth crack, and to the left of the broken tree",https://www.mountainproject.com/route/121995644/allen-ginsberg
50,Sal Paradise,Boulder,V1,40.46363,-74.71243,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Playground,Sit start at the vertical crack. See photo,https://www.mountainproject.com/route/121967791/sal-paradise
51,Neal Cassady'S Hudson,Boulder,V2,40.46363,-74.71243,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Playground,"Sit start, use little flake on the right of the little second layer. Reach up grab little 10 inch rail. Top out on slopey top with tiny holds",https://www.mountainproject.com/route/121962772/neal-cassadys-hudson
52,Boys And Girls In America Traverse,Boulder,V2,40.46363,-74.71243,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Playground,Start far right on the side by the broken tree. Traverse left to the vertical crack and top out.,https://www.mountainproject.com/route/121968508/boys-and-girls-in-america-traverse
53,William S. Burroughs,Boulder,V2,40.46363,-74.71243,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Playground,"Sit start left hand pinch, right hand arete.",https://www.mountainproject.com/route/121962911/william-s-burroughs
54,Boys And Girls In America,Boulder,V3,40.46363,-74.71243,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Playground,Sit start far right of that side of the boulder. See photo,https://www.mountainproject.com/route/121967805/boys-and-girls-in-america
55,Baby Bump,Boulder,V0,40.46387,-74.71268,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Playground,"SDS with a left pinch and a higher right crimp. Bump to jugs, gain the lip and move up.Beta Video",https://www.mountainproject.com/route/118072677/baby-bump
56,Spirit Molecule,Boulder,V5,40.47724,-74.70133,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Spirit Molecule Area,"Excellent V5 and the namesake of the area, I thought this one deserved a spot on MP.Sit start on two obvious chalked edges. Make moves straight up/right following slopers on the left and compressing either side of the bulge. Excellent movement on high quality rock",https://www.mountainproject.com/route/122331951/spirit-molecule
57,The Van Der Wall,Boulder,V8,40.47724,-74.70133,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Spirit Molecule Area,Start on the obvious knife edge crimps in the middle of the slab and bad feet. Use the nail-sharp crimps to move upwards and right until you gain a good right-hand sidepull around the blunt arete and a good crimp up top. Finish the technical slab sequence to the top.The original send an V6 stand variation started on the good sidepull.,https://www.mountainproject.com/route/121546180/the-van-der-wall
58,Quantum Numbness,Boulder,V8,40.47724,-74.70133,New Jersey,Mid-state,Bouldering Mid-State Nj,Sourland Mountain Preserve,Spirit Molecule Area,"Start on the obvious knife-edge crimps in the middle of the slab with bad feet. Climb as straight upwards as possible, with the first big move left to a big crimp and then right.",https://www.mountainproject.com/route/121546221/quantum-numbness
59,Rotten,Boulder,V0,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,Far left side of the boulder.,https://www.mountainproject.com/route/121428562/rotten
60,Viewing,Boulder,V0,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Super short problem on the slab.Beta:First scramble up onto the big ledge. Start hands on the two big edges. Put right foot in the big crack down just above the ledge you start on, then reach left foot out to a juggy thing on the arete  (lower arrow). Stand up and go left hand to the slopey hold on the arete, then bring your right hand up to the tiny pocket. Next, a SUPER high right foot to where your right hand started. Reach right hand up to the top, bring your left foot up to the edge your left hand started on, and then you're basically there.",https://www.mountainproject.com/route/114403953/viewing
61,Split Smear,Boulder,V0,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Standing start on the bottom of the boulder, putting the left foot in the crack, or climbing up the arete to the right.",https://www.mountainproject.com/route/120718731/split-smear
62,T-Time,Boulder,V0,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,Not available,https://www.mountainproject.com/route/111805338/t-time
63,Canine,Boulder,V0,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,Sit start with your hands on either side of the tooth on the undercling/ side pulls.  Pull up to a good left hand side pull and top out.,https://www.mountainproject.com/route/117821090/canine
64,Witherspoon Traverse,Boulder,V0,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Best warm up in the woods. Start on the same holds as Sharknado and traverse left on good holds with reachy, technical feet. End with an easy mantle onto the left face at the start of The Seam",https://www.mountainproject.com/route/119146158/witherspoon-traverse
65,Smalls,Boulder,V1,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,Far right of the boulder. Staying right of the sidepull.,https://www.mountainproject.com/route/121428510/smalls
66,Blades,Boulder,V1,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Start with your left foot on a very good rail low and your right hand on the obvious hold that is chalked in the photo.You can climb this without a pad, as the landing area between the two boulders is pretty flat. If you don't have a pad be prepared to bail early or have some good ankles if you blow the crux.",https://www.mountainproject.com/route/117321021/blades
67,Sharknado,Boulder,V1,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,start on the bottom right of the slopey arete. Don't be afraid of some high feet on this route!Beta:left hand out to the big side pull marked with a red circleshimmy the right hand up the side. plenty of feet to move around to.Top out using the nice top blue edge marked in the image,https://www.mountainproject.com/route/114403911/sharknado
68,Underdog Variation,Boulder,V1,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,Start on crimps and decent feet in the center of the slab.  Work thin holds straight up to the top avoiding going left or right.,https://www.mountainproject.com/route/118007145/underdog-variation
69,Down Play,Boulder,V1,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,Not available,https://www.mountainproject.com/route/111805301/down-play
70,Slug Slab Variation,Boulder,V1-2,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,Stand start on the left side of the slab.  Use some crimps to help you get onto the slab and then work your way straight up and top out. Easier the further left you go.,https://www.mountainproject.com/route/117823780/slug-slab-variation
71,Silverfish,Boulder,V2,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Sit start with left hand on a good hold (left arrow, just to the left/out of frame of the picture) and right on a decent one (right arrow); get a heel hook where the circled hold is and go up.",https://www.mountainproject.com/route/117320961/silverfish
72,Bum Rap,Boulder,V2,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,Not available,https://www.mountainproject.com/route/111805214/bum-rap
73,The Seam (Aka Slug Slab),Boulder,V2,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Start at the very low angle part of the boulder, and reach up into the seam. Traverse the seam to the left, as as it pinched down to nothing (and the feat disappear as well!). Top out the boulder at the end of the seam.",https://www.mountainproject.com/route/111805279/the-seam-aka-slug-slab
74,Best Seller,Boulder,V2,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Start at the center of the slab beside the ledge or on the big side pull further to the right. Move up and left to the large edge, step up onto thin feet, make a tricky move, and top out.",https://www.mountainproject.com/route/118101616/best-seller
75,Writhin Floridian,Boulder,V2-3,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Like Flying Hawaiian but a lot worse.Start on the bottom of the wide crack and mantle to a stance at the bottom of the dihedral. From there trust your feet and tips to the topout, or reach through the crux if you can.",https://www.mountainproject.com/route/121510665/writhin-floridian
76,The Wave / Stuart Arete - Stand Start,Boulder,V3,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Start with your left hand on a decent edge and your right hand on a pinch just below the jug. Bump up to the jug and continue to the slopey lip. For full value, don't traverse right at the lip, but instead top out straight up. You can do it!Alternate Description:Standing in front of the prow. Right hand on the jug on the prow. Left hand out to the left. Go onto the right side for an easier variation. Go left and top out is harder.",https://www.mountainproject.com/route/109070933/the-wave-stuart-arete-stand-start
77,Stu-Babies,Boulder,V3,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,Same start as Stuart Arete but go straight up to the seam instead.,https://www.mountainproject.com/route/117823867/stu-babies
78,Senior Discount,Boulder,V4,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Start on the jug and somehow finagle both your arms onto the opposing sidepulls. From there, bump your way to the top!",https://www.mountainproject.com/route/119146232/senior-discount
79,Stuart Arete,Boulder,V5,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Sit start with your right hand on a bad sloper and left hand on a vaguely ball-like sloper. There are several options for getting to the pinch, some involving a barely-there sloper intermediate, and some involving a powerful and extended gaston. Once you wrap the jug with your right hand, it's pretty much in the bag (assuming you can climb The Wave stand).The ideal conditions for an ascent of this sloper testpiece are a crisp 80-degree day in June, with full humidity, and nursing a hangover from Princeton Reunions. While we conservatively grade this problem V8, there have been murmurs that the true grade is closer to V10. To those murmurers I say: Thank you. You're very kind.",https://www.mountainproject.com/route/109071042/stuart-arete
80,Stuart Left,Boulder,V6-7,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"Climb Stuart Arete into the stand start.  Then crimp, heel hook, toe hook and swing your way left to reverse Stuart Right.  Finish as for Bum Rap.  It climbs quite well even if it is a little cramped with the tree.  Felt about the same in difficulty as Stuart Right.  It will likely be harder for shorter climbers but there are other options they could use for the traverse.",https://www.mountainproject.com/route/122082696/stuart-left
81,Cave Probelm Sit,Boulder,V7,40.36905,-74.67443,New Jersey,Mid-state,Bouldering Mid-State Nj,Witherspoon Woods Boulders,N/A,"This boulder adds a sit start to the ""cave problem"". Start with your hands on two low crimps with solid feet on the inside right of the cave. Work through a couple good crimps and then make a big move into the starting ledge of the cave problem. With an awkward heel hook and undercling slap to a sloper. From here make a big move to a good edge over the lip. Traverse left through small crimps (although you can top out going straight up from the crimps, I have done this finish and don't think it is any harder, and it seems like a shame to waste the fun holds you get exiting to the left) and the occasional feet to top out on the left side above a smaller boulder.",https://www.mountainproject.com/route/116212501/cave-probelm-sit
82,She Sends Sea Sends,Boulder,V1,40.16662,-74.01707,New Jersey,Mid-state,Bouldering Mid-State Nj,Belmar Beach,N/A,Unique boulder on a wooden pillar with plastic holds.Start with hands on the waist-high green and red hold. Shoot up to the red shell and then mantle to the top. Take a minute to enjoy the view at the top before either jumping off or climbing down.,https://www.mountainproject.com/route/116237512/she-sends-sea-sends
83,Jersey Girl,Boulder,V1+,40.16662,-74.01707,New Jersey,Mid-state,Bouldering Mid-State Nj,Belmar Beach,N/A,"Beach area, adjacent to ""She Sends Sea Sends"". Tough start, with one half broken hand hold halfway up, but a fun romp up to the top.",https://www.mountainproject.com/route/122480247/jersey-girl
84,Misbehavin,Boulder,V1+,39.83335,-73.45905,New Jersey,Mid-state,Bouldering Mid-State Nj,Desperation Buildering,Spark Wall,5 or so moves,https://www.mountainproject.com/route/118869606/misbehavin
85,Richard’S Traverse,Boulder,V0,40.38636,-74.22764,New Jersey,Mid-state,Bouldering Mid-State Nj,Watergate bouldering,N/A,"Very easy, watch out for a small vine hanging from the ledge. Only top out on the other wall, if you do not, it does not count.",https://www.mountainproject.com/route/122270249/richards-traverse
86,Richard Green Blue,Boulder,V3-4,40.38636,-74.22764,New Jersey,Mid-state,Bouldering Mid-State Nj,Watergate bouldering,N/A,"It starts in the middle of the pillar, it is juggy. It is a hard standup into the crack and then a small hop to the top.",https://www.mountainproject.com/route/122271907/richard-green-blue
87,Richard’S Crack,Boulder,V4-5,40.38636,-74.22764,New Jersey,Mid-state,Bouldering Mid-State Nj,Watergate bouldering,N/A,"On the opposite side of rainbow crack, it starts on a jump to the juggy crack, and a short press up and into the crack, then a tricky section with horrible feet and then the top out.",https://www.mountainproject.com/route/122270223/richards-crack
88,Rainbow Crack,Boulder,V5-6,40.38636,-74.22764,New Jersey,Mid-state,Bouldering Mid-State Nj,Watergate bouldering,N/A,"Pretty sharp edges, and a small crux on the pillar to the left, then a hard and long crack to the top of the tunnel",https://www.mountainproject.com/route/122270243/rainbow-crack
89,Tanaka'S Master Plan,Boulder,V0+,39.37632,-74.41817,New Jersey,South,Atlantic City,Tanaka's Bly Tower,N/A,Sit start on the east face of the pillar with feet on the lowest horizontal rail. Crux is to get off the ground and onto the face. Climb the face to the mini roof and top out. Stand on top to finish.All face holds as well as corners are on.,https://www.mountainproject.com/route/117864357/tanakas-master-plan
