,index,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,Description
30,30,Noodled,Over the Falls Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/108410112/noodled,2.7,-1,Boulder,V1,1,10.0,40.48159,-75.22408,"Start on edges, move up and right to a long crimp rail then up to a good U-shaped hold one foot below the lip."
31,31,Swan Dive,Over the Falls Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/107478405/swan-dive,2.3,-1,Boulder,V2,1,15.0,40.48159,-75.22408,"Start on small edges and stemming in a subtle corner, move up on small edges and top out."
32,32,Uncle Muscles Power Hour,Over the Falls Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/108410080/uncle-muscles-power-hour,2.9,-1,Boulder,V3,1,6.0,40.48159,-75.22408,"Start at the big footholds, move up to opposing sidepulls and make a big move for the top."
33,33,Tsunami,Over the Falls Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109050438/tsunami,3.2,-1,Boulder,V4,1,8.0,40.48159,-75.22408,Crimpy face to the right of Over the Falls
34,34,Over The Falls,Over the Falls Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/107399291/over-the-falls,2.6,-1,Boulder,V9,1,,40.48159,-75.22408,Not sure of the exact details... climbed this problem while on a trip to Haycock. Great arete problem if I recall correctly.
35,35,Unnamed V1 Little Roof,Of Mice and Men Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/107573254/unnamed-v1-little-roof,2.3,-1,Boulder,V1,1,8.0,40.48213,-75.22512,"Short and easy roof climb. Get as low as you can to SDS on good sidepulls/underclings, then fire out, up , and over on jugs. Not much to it, but it is one of the few easy roof climbs (nearly horizontal) to be found at Haycock."
36,36,Unnamed V2,Of Mice and Men Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/107573263/unnamed-v2,2.0,-1,Boulder,V2,1,10.0,40.48213,-75.22512,"Sit down start on the right side of a fairly large boulder, with a rail and the prow for hands. Move up to a good jug, then continue trending left up the arete to top out."
37,37,The Moon Is Down Stand,Of Mice and Men Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111749433/the-moon-is-down-stand,2.0,-1,Boulder,V4 PG13,1,10.0,40.48213,-75.22512,Start on underclings and move up left to a series of good sidepulls.
38,38,Scoop,Of Mice and Men Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111769439/scoop,2.5,-1,Boulder,V4,1,8.0,40.48213,-75.22512,S.D.S. matched on a protruding hold down low. Use a couple incut sidepulls to reach a jug on the lip. Top-out directly above.
39,39,Of Mice And Men,Of Mice and Men Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109509264/of-mice-and-men,3.6,-1,Boulder,V8 PG13,1,16.0,40.48213,-75.22512,SDS at the base of the blunt arete. Work up into underclings and then the seam above. Get your feet way up and make a huge reach to a good hold at the lip the boulder.
40,40,The Press,Of Mice and Men Area > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109509112/the-press,3.0,-1,Boulder,V8,1,15.0,40.48213,-75.22512,"SDS with a jug on the prow. The right arete is off. Reach up to an edge, then to the terrible flat gaston sloper. Match it, and continue up edges on the left face."
41,41,Bone Yard,Southwest Boulder > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111151438/bone-yard,1.5,-1,Boulder,V0+,1,10.0,40.48159,-75.22481,Stand start on jug and climb up jugs and good slopers to easy top out.
42,42,Unknown3,Southwest Boulder > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111151405/unknown3,2.0,-1,Boulder,V1-,1,10.0,40.48159,-75.22481,"SDS on two good crimps with a good left foot, stand and reach to good sloping edge and then up to another crimp.  Tricky top out."
43,43,Ankle Biter,Southwest Boulder > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/108410166/ankle-biter,2.5,-1,Boulder,V1-2,1,10.0,40.48159,-75.22481,Sit down start.  Climb the face left of the arete without using the arete.
44,44,Bombora,Southwest Boulder > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111151430/bombora,2.3,-1,Boulder,V2,1,10.0,40.48159,-75.22481,SDS matched on jug and climb several small crimps to tenuous top out.
45,45,Birdnest,Upper Hangar > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/116158839/birdnest,1.0,-1,Boulder,V0,1,,40.48256,-75.22388,Start with high left on the left arete and a low right hand crimp. Move up and out to the left to top out.https://vimeo.com/64966772#t=3m57s
46,46,Stonemaster,Upper Hangar > Hangar 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/116158808/stonemaster,1.0,-1,Boulder,V1,1,,40.48256,-75.22388,Start matched on a large jug in the center of the face and move up.vimeo.com/64966772#t=0m56s
47,47,Unnamed V0,Nadja > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111137371/unnamed-v0,2.5,-1,Boulder,V0-,1,10.0,40.4855,-75.2171,Climb straight up the large crack that turns into a finger crack halfway up the boulder.
48,48,Unnamed V0,Nadja > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111137380/unnamed-v0,1.6,-1,Boulder,V0-,1,10.0,40.4855,-75.2171,Start climbing the large crack and follow the finger crack that trends left.
49,49,Unnamed V1,Nadja > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111137335/unnamed-v1,2.0,-1,Boulder,V1,1,10.0,40.4855,-75.2171,Share the same start as Nadja. Step on just left of a small tree and follow the scoop up and right.
50,50,Nadja,Nadja > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111137355/nadja,3.2,-1,Boulder,V2,1,10.0,40.4855,-75.2171,Start just left of the small tree and climb straight up the slab face on small crimps/seams and tricky feet.
51,51,The Plum,Mo Mangoes > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585924/the-plum,1.7,-1,Boulder,V2,1,,40.48798,-75.21591,Start on a low edge and climb up to the sloping rail. Follow the sloping rail up and right and top out.Very mellow climb and very short.
52,52,Mo Mangos,Mo Mangoes > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585892/mo-mangos,3.8,-1,Boulder,V7,1,,40.48798,-75.21591,"One of the best v7's at Haycock. Definitely worth adventuring down the Caves Trail to find.This problem (along with the few variations and The Plum) is somewhat tucked away in a cave type formation.SDS on the hold that is continually chalked. Move right to the big undercling, then up the nice crimps on the face. Hit the arete and climb up and over.Word of caution, the bottom of this climb is always always wet."
53,53,Fruit Basket Traverse,Mo Mangoes > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585911/fruit-basket-traverse,2.0,-1,Boulder,V7,1,,40.48798,-75.21591,"Start the same as Mo Mangos, but instead of reaching up for the crimps on the face, continue right past the big undercling to another undercling and continue out to the crack. From here, climb up the crack and follow the arete.Dab potential on the boulder that is home to The Plum is very high on this one. Its quite scrunched."
54,54,Tooth Traverse Variation,The Tooth > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/117648973/tooth-traverse-variation,1.5,-1,Boulder,V1,1,,40.48914,-75.21576,Start on a curved crimp on the left and climb the face to the notch in the center.
55,55,Tooth Arete,The Tooth > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/116165044/tooth-arete,1.0,-1,Boulder,V1,1,,40.48914,-75.21576,Climb the right arete of the Tooth Boulder.
56,56,Novocaine,The Tooth > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109579848/novocaine,2.0,-1,Boulder,V4,1,,40.48914,-75.21576,Start at the big prominent jug near the bottom of the arete. Climb the arete utilizing nice crimps to a solid top out.
57,57,Tooth Traverse,The Tooth > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109579953/tooth-traverse,2.3,-1,Boulder,V4,1,,40.48914,-75.21576,"Although unnamed, this is a pretty nice climb nonetheless. Starts on the same jug as Novocaine and traverse rightward, following the seam. Head for the notch in the top of the boulder."
58,58,The Magi,The Magi Boulder > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109579988/the-magi,2.0,-1,Boulder,V6,1,,40.48585,-75.21619,SDS on the right side of the roof on the arete. Work your way up and left across the face to a good crimp at the lip of the roof. Pull up from here and top out above.
59,59,The Magi Direct,The Magi Boulder > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109580002/the-magi-direct,3.0,-1,Boulder,V6,1,,40.48585,-75.21619,"Start under the roof on a good incut for your left hand. Using the below boulder as a kick plate, reach up to the good crimp at the lip of the roof. Pull up and over and top out directly above."
60,60,High Jinx,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111731676/high-jinx,2.8,-1,Boulder,V0+ PG13,1,10.0,40.48545,-75.21688,Start on jugs at the base of the huge crack. Climb straight up into the scoop on bomber holds.
61,61,V1,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585687/v1,2.0,-1,Boulder,V1,1,,40.48545,-75.21688,"Just to the left of Sumo Wrestler, climb the slab."
62,62,Langle,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585412/langle,4.0,-1,Boulder,V2,1,,40.48545,-75.21688,Brace yourself for perhaps the hardest v2 on the mountain. Being able to crimp v-hard will not automatically mean you will be able to power up this arete. Be prepared for a fun challenge deciphering this technical climb.Balance up the left side of the arete.
63,63,Low Jinx,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111660638/low-jinx,2.5,-1,Boulder,V2 PG13,1,10.0,40.48545,-75.21688,stand start with a side pull for your right and an edge out left right above the chalked up slopey rail. get a high foot and carefully go for one of the crimps up high. top out straight above. a v3 variation exists starting from the slopey rail.
64,64,Honeybun Arete,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111412399/honeybun-arete,2.2,-1,Boulder,V2 PG13,1,10.0,40.48545,-75.21688,S.D.S. climb the arete.
65,65,The Kind That Go Ding,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585766/the-kind-that-go-ding,2.7,-1,Boulder,V5 PG13,1,,40.48545,-75.21688,Start on the right side of the obvious pit. Follow the rail leftward until you reach the large brick sized hold at the base of the sweeping feature. Stab up for the slopers at the lip and mantle over.
66,66,Caves Crack,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585388/caves-crack,2.7,-1,Boulder,V5,1,9.0,40.48545,-75.21688,"Its easy to locate this climb. This powerful yet somewhat short line has a really nice landing and is situated in the cave itself.Start with two high fingerlocks in the crack. Using bad foot smears, power up and exit left around the roof."
67,67,Bouloutains Arete,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585875/bouloutains-arete,2.6,-1,Boulder,V5+,1,,40.48545,-75.21688,"If sharp crimps are your thing, be sure to give this one a go.Start on the very blunt arete on an obvious two handed crimp seam. Follow a few small crimps to a larger hold and then mantle up over the top."
68,68,The Balrog,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111635559/the-balrog,3.0,-1,Boulder,V6+,1,10.0,40.48545,-75.21688,"Start with your left hand on a sloping rail and your right hand on a good crimp sidepull.  Get a high right foot and dyno for the slopey lip, then mantle over.  This problem was originally climbed at V5, using the right hand side pull and a small left hand crimp up high.  The crimp now appears to be broken off, making the dyno significantly longer and more difficult."
69,69,Sumo Wrestler,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585694/sumo-wrestler,-1.0,-1,Boulder,V7 PG13,1,,40.48545,-75.21688,Climb the ball. Start off with fist jams and trend rightward.
70,70,Pele,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585704/pele,3.3,-1,Boulder,V8,1,,40.48545,-75.21688,"Start on the jug on the right arete and follow the obvious line across the 45 degree wall. Reach the crack in the dihedral and continue up to a triangular jug. From here, jump off."
71,71,Yosemite Arete,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585657/yosemite-arete,4.0,-1,Boulder,V9 R,1,,40.48545,-75.21688,"Starting on the big jug on the left arete, follow the long arete up the boulder."
72,72,Yosemite Crack,The Caves > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109585425/yosemite-crack,4.0,-1,Boulder,V10 PG13,1,,40.48545,-75.21688,This is a rather tall boulder with a somewhat relatively flat landing. Climb the small seam that splits the face of this boulder.Start on a low pinch for your right and a pocket for your left.
73,73,The Bubbler,Top Rock/Caves Trail Split > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109588605/the-bubbler,2.8,-1,Boulder,V6,1,,40.49003,-75.21477,"Excellent Haycock compression problem. Your right hand is low on a crimp under the overhang in the seam out right, your left on a good edge on the arete. Follow a few faint sloping edges on the seam and work you way out and up the arete.Careful not to dab on the ground boulder that is awkwardly placed directly under the start."
74,74,Before The Storm,Top Rock/Caves Trail Split > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109851352/before-the-storm,3.9,-1,Boulder,V7,1,10.0,40.49003,-75.21477,Start low on a sidepull and move up and right to finish.
75,75,Middle V1,Three Seams > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/109824370/middle-v1,-1.0,-1,Boulder,V1,1,17.0,40.48749,-75.21526,Center and easiest of the Three Seams. Highball - commit to trusting feet and go.
76,76,Left Side Crack,The Cracked Egg Boulder > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111438618/left-side-crack,2.3,-1,Boulder,V0,1,12.0,40.48676,-75.21544,"Follow the obvious crack up the left side of the boulder with a few locks, jams and jugs."
77,77,Right Slab,The Cracked Egg Boulder > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111438629/right-slab,2.0,-1,Boulder,V0,1,12.0,40.48676,-75.21544,Follow good flakes up the right side of the boulder to a thinner top out with good feet.
78,78,Center Slab,The Cracked Egg Boulder > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111438625/center-slab,2.8,-1,Boulder,V2,1,12.0,40.48676,-75.21544,"Follow the thin line up the center of the boulder, do not use the crack to climbers left."
79,79,White Top Overhang,White Top Boulder > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111438656/white-top-overhang,3.0,-1,Boulder,V1 PG13,1,15.0,40.48791,-75.21553,"Start on a large undercling and high jug, get a high, good foot and follow the crack up using another jug and mantle over the lip."
80,80,Poke,Bokow Boulder > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/121774126/poke,1.0,-1,Boulder,V0,1,,40.48479,-75.22121,"Eady slab problem. Stand start with two sidepulls, then to horizontal seam, then to top"
81,81,Wokob,Bokow Boulder > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania,https://www.mountainproject.com/route/111183928/wokob,2.3,-1,Boulder,V3,1,10.0,40.48479,-75.22121,"Start on two crimps left (sidepull/undercling) right (sidepull) at about chest height, get a high foot and slap your left hand up a rightward arching arete with bad feet."
